Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,40,27.3,3.25,24,871,763,78,141,33,2,25,74,9,5,88,222,0.185,0.275,0.332,0.607,79,253,11,10,3,7,2,155
Atlanta Braves,35,28.9,3.92,24,882,785,94,180,47,1,29,88,7,1,77,218,0.229,0.304,0.403,0.706,100,316,17,11,0,9,1,156
Baltimore Orioles,34,28,3.13,23,865,761,72,164,37,2,11,70,12,6,79,222,0.216,0.3,0.313,0.612,84,238,9,15,3,6,3,179
Boston Red Sox,34,28.9,3.52,23,852,773,81,177,47,1,13,80,4,2,52,182,0.229,0.279,0.343,0.622,79,265,17,8,4,15,3,149
Chicago Cubs,31,28.6,4.36,22,818,720,96,177,43,2,17,87,4,5,81,190,0.246,0.329,0.382,0.711,108,275,24,11,1,5,4,150
Chicago White Sox,32,29.1,3.27,22,773,712,72,156,34,1,19,67,10,1,47,156,0.219,0.272,0.35,0.622,86,249,15,7,2,5,0,124
Cincinnati Reds,37,30.1,3.05,22,774,697,67,140,32,0,15,64,4,4,59,195,0.201,0.271,0.311,0.582,63,217,20,10,0,5,0,116
Cleveland Guardians,35,26.2,4.59,22,829,748,101,188,41,7,20,99,9,4,66,182,0.251,0.314,0.405,0.719,114,303,21,6,2,7,0,141
Colorado Rockies,31,29.7,4.73,22,830,737,104,195,42,4,24,98,4,4,72,171,0.265,0.337,0.43,0.767,116,317,18,12,3,6,1,157
Detroit Tigers,36,28.9,3.19,21,767,686,67,159,26,3,10,67,3,3,70,189,0.232,0.309,0.322,0.631,92,221,17,8,0,3,1,143
Houston Astros,32,29.6,3.7,23,857,769,85,166,37,2,27,83,8,5,75,189,0.216,0.288,0.375,0.663,97,288,11,5,2,5,3,155
Kansas City Royals,31,29.1,3,21,765,690,63,146,27,3,12,57,14,4,62,154,0.212,0.283,0.312,0.595,76,215,14,8,2,3,1,143
Los Angeles Angels,33,28.5,4.58,24,890,787,110,196,42,4,28,105,17,10,86,214,0.249,0.327,0.419,0.747,122,330,19,8,4,5,3,155
Los Angeles Dodgers,32,29.7,4.86,21,783,687,102,163,30,4,21,94,16,3,82,170,0.237,0.321,0.384,0.705,106,264,13,6,0,8,1,136
Miami Marlins,29,29.5,3.95,22,835,731,87,173,33,7,18,83,13,4,82,207,0.237,0.325,0.375,0.699,106,274,13,16,0,6,2,170
Milwaukee Brewers,29,29.9,4.09,23,828,742,94,162,34,3,24,89,13,5,71,207,0.218,0.291,0.369,0.66,92,274,14,8,0,7,2,134
Minnesota Twins,36,27.3,4.17,23,842,748,96,173,35,1,24,89,4,5,80,208,0.231,0.311,0.377,0.688,108,282,19,8,2,3,1,145
New York Mets,33,30.4,4.58,24,922,809,110,208,39,3,19,102,12,5,83,188,0.257,0.339,0.383,0.723,117,310,15,21,3,6,1,180
New York Yankees,30,30.7,4.74,23,864,762,109,188,34,1,32,102,14,6,78,192,0.247,0.322,0.42,0.742,120,320,17,11,3,9,4,157
Oakland Athletics,37,28.7,3.7,23,823,749,85,154,34,3,18,77,13,1,59,216,0.206,0.27,0.331,0.601,85,248,12,9,1,5,3,127
Philadelphia Phillies,32,28.9,4.61,23,843,747,106,182,40,4,25,101,12,1,74,198,0.244,0.316,0.408,0.724,113,305,21,10,1,11,1,140
Pittsburgh Pirates,35,27.7,3.64,22,807,728,80,169,27,4,12,73,9,4,70,200,0.232,0.298,0.33,0.627,86,240,14,1,1,7,1,146
San Diego Padres,34,28.4,4.74,23,876,752,109,176,34,5,21,106,12,4,92,192,0.234,0.326,0.376,0.702,114,283,18,16,4,12,3,158
Seattle Mariners,32,26.8,4.43,23,878,767,102,182,37,5,23,99,14,4,94,190,0.237,0.326,0.389,0.715,117,298,15,10,0,5,4,170
San Francisco Giants,38,30.2,4.95,22,829,734,109,174,30,1,24,101,14,4,76,196,0.237,0.315,0.379,0.694,103,278,16,11,0,8,2,138
St. Louis Cardinals,30,29.6,4.09,22,815,727,90,170,32,2,17,85,22,2,67,162,0.234,0.306,0.354,0.66,99,257,14,12,1,7,1,152
Tampa Bay Rays,38,27,4.17,23,841,755,96,183,40,4,20,91,16,4,74,205,0.242,0.313,0.385,0.699,115,291,11,6,1,5,2,152
Texas Rangers,35,29.3,4.36,22,817,734,96,164,26,1,19,91,14,6,69,166,0.223,0.293,0.339,0.632,91,249,8,6,1,7,2,137
Toronto Blue Jays,35,27.1,3.92,24,880,797,94,195,36,0,31,93,12,3,60,200,0.245,0.304,0.407,0.711,109,324,17,12,2,8,4,159
Washington Nationals,33,29.5,3.96,24,896,802,95,193,41,0,12,90,6,3,73,182,0.241,0.309,0.337,0.645,95,270,19,8,5,5,3,162
League Average,34,28.8,4.04,23,838,747,92,173,36,3,20,87,11,4,73,192,0.232,0.306,0.368,0.675,100,275,16,10,2,7,2,150
,1005,28.8,4.04,680,25152,22399,2750,5194,1070,80,610,2605,321,118,2198,5763,0.232,0.306,0.368,0.675,100,8254,469,290,51,200,59,4486