Driver,WINS,AS,AMR,AF,AP,PD,GP,GPD,QP,%QP,#FL,LTOP15,%LTOP15,LL,%LL,TL,DR,PTS
Kyle Larson,10,6.1,10.3,9.1,8.6,389,2643,2254,1591,60.2,1288,7677,85.3,2581,28.7,9000,112.4,5040
Martin Truex Jr.,4,8.4,11.2,12.1,10.9,154,3440,3286,1853,53.9,610,7370,80.7,865,9.5,9134,97.6,5035
Denny Hamlin,2,6.4,8.1,8.5,7.4,174,2803,2629,1770,63.1,703,8215,89.3,1502,16.3,9196,109.4,5034
Chase Elliott,2,8.1,9.8,10.7,9.5,398,3595,3197,2198,61.1,587,7740,85.5,952,10.5,9050,102.3,5032
Kevin Harvick,0,9.7,13.5,10.9,11.3,44,3368,3324,1956,58.1,309,7453,81.5,217,2.4,9150,92.5,2361
Brad Keselowski,1,11.4,12.3,13,13,65,3425,3360,1908,55.7,301,6702,74,331,3.7,9062,87.9,2354
Ryan Blaney,3,9.6,12.9,11.9,11.9,13,3012,2999,1739,57.7,298,7194,82.5,423,4.9,8721,91.8,2350
Joey Logano,1,9.2,12.7,12.7,10.7,16,2993,2977,1846,61.7,199,7461,82.9,453,5,8995,95.1,2336
Kyle Busch,2,10.4,11.4,12.8,11.6,201,3394,3193,2066,60.9,340,6828,79,334,3.9,8647,96.9,2318
William Byron,1,8.7,8.9,13.7,10.3,166,3465,3299,1999,57.7,484,7521,83.9,425,4.7,8962,97.6,2306
Kurt Busch,1,14.6,14.1,15.5,15,80,3012,2932,1496,49.7,264,5205,63.8,208,2.5,8163,82.7,2297
Christopher Bell,1,11.5,13.3,15.8,13.9,-45,3610,3655,1995,55.3,297,6159,69.1,100,1.1,8911,85.5,2279
Tyler Reddick,0,15.4,12.2,15.1,14.3,70,3494,3424,1553,44.4,167,5443,59.5,43,0.5,9141,81.4,2250
Alex Bowman,4,13.7,13.6,15.1,14.3,176,3391,3215,1704,50.3,314,6148,72.3,161,1.9,8499,84.2,2240
Aric Almirola,1,19.1,18.7,20,19.7,-165,2885,3050,785,27.2,99,3527,42.5,51,0.6,8299,66.6,2215
Michael McDowell,1,17.4,21.6,20.5,21.4,-79,3113,3192,675,21.7,70,1167,13.6,26,0.3,8565,61.8,2152
Austin Dillon,0,15.5,16.3,14.5,15.3,73,3578,3505,1705,47.7,105,5462,60,27,0.3,9105,79.8,935
Matt DiBenedetto,0,18.2,17.5,16.9,16.8,-204,3131,3335,1238,39.5,67,4166,46.4,68,0.8,8985,73.4,775
Chris Buescher,0,18.1,17.9,16.3,17.9,-227,3401,3628,1374,40.4,101,3459,39.4,93,1.1,8769,71.2,771
Ross Chastain,0,19.8,18.5,18.6,17.8,27,3433,3406,1399,40.8,121,3626,41.1,62,0.7,8827,74,729
Bubba Wallace,1,19.9,20,19.7,19.9,-67,3550,3617,1241,35,84,3125,36.6,62,0.7,8528,66.9,699
Ricky Stenhouse Jr.,0,18.4,20.4,19.8,19.5,245,3658,3413,1211,33.1,121,3079,36.1,35,0.4,8532,67,666
Chase Briscoe,0,22.2,20.6,19.7,20.2,-140,3591,3731,821,22.9,42,1893,21.3,18,0.2,8872,64.1,655
Erik Jones,0,22.7,21.4,19.7,20.8,10,3348,3338,771,23,96,1906,21.7,9,0.1,8779,62.8,641
Daniel Suárez,0,20.1,20,20.1,21.8,-138,2846,2984,623,21.9,109,2205,25,74,0.8,8826,63.2,634
Cole Custer,0,21.7,21.5,21.4,20.8,-97,3461,3558,1027,29.7,56,1759,20,9,0.1,8777,62,575
Ryan Preece,0,24,22.5,22.8,23.1,177,3562,3385,799,22.4,105,1253,14.8,12,0.1,8478,58.6,557
Ryan Newman,0,23.4,23.5,22.6,23.5,-278,2635,2913,452,17.2,76,1853,22.5,4,0,8223,56.8,546
Corey LaJoie,0,26.8,22.4,24.9,24.8,5,2925,2920,485,16.6,50,845,10.1,13,0.2,8365,52.1,448
Anthony Alfredo,0,29.1,26.7,27.6,28.3,-277,2300,2577,223,9.7,19,232,2.9,5,0.1,8056,44.3,352
Quin Houff,0,34.2,33,32.5,33,-115,1194,1309,9,0.8,6,18,0.2,0,0,7695,33,176
James Davison,0,34.1,33,31.3,32.8,125,680,555,22,3.2,3,39,1,0,0,3966,34.3,117
Jamie McMurray,0,19,15,8,16.7,1,87,86,41,47.1,8,109,54.5,0,0,200,85.3,30
Scott Heckert,0,32.7,31.7,28.3,31.7,14,206,192,1,0.5,0,1,0.4,0,0,271,34.5,26
Joey Hand,0,36,28,27,28.9,-23,98,121,1,1,0,1,0.9,0,0,109,42.3,10
Mike Marlar,0,38,29,31,30,-4,7,11,0,0,0,0,0,0,0,244,37.8,6
David Ragan,0,18,37,37,35.5,-2,41,43,30,73.2,0,10,76.9,0,0,13,30.7,4
Chris Windom,0,36,33,33,32.4,-5,13,18,0,0,0,0,0,0,0,62,33.7,4
Rc Enerson,0,37,34,34,31.2,19,68,49,6,8.8,0,4,4.5,0,0,88,31.2,3
Derrike Cope,0,32,40,40,39.8,-9,5,14,0,0,0,0,0,0,0,3,23.2,1
Shane Golobic,0,35,37,37,36.4,6,10,4,0,0,1,0,0,0,0,39,30.4,1
Ryan Eversley,0,31,38,39,36.6,11,24,13,0,0,0,0,0,0,0,27,28.5,1
Austin Cindric,0,25,18.1,22.7,19.7,-73,537,610,146,27.2,15,338,24.7,8,0.6,1369,70.2,0
Joey Gase,0,35.3,34.3,32.4,34,-111,301,412,4,1.3,2,19,0.6,1,0,3232,31.6,0
Cody Ware,0,32.4,32.2,31.2,31.4,-131,1335,1466,41,3.1,10,64,0.9,5,0.1,6910,36.4,0
BJ McLeod,0,32.2,31.3,29.2,30.6,-218,927,1145,21,2.3,6,56,0.7,0,0,7862,39,0
Josh Bilicki,0,33.7,32.9,31.1,32.8,-59,1077,1136,19,1.8,2,34,0.4,0,0,8780,33.7,0
Kaz Grala,0,38.7,22.7,23.3,25.9,19,384,365,25,6.5,13,34,7.4,10,2.2,462,57.8,0
Justin Haley,0,29.1,28.7,28.6,29.3,-112,1834,1946,233,12.7,23,203,3.1,4,0.1,6543,41.7,0
Garrett Smithley,0,34.1,32.9,31.3,32.7,-97,736,833,6,0.8,0,28,0.4,0,0,6535,32.8,0
Timmy Hill,0,38,35.4,33.8,35.3,9,300,291,0,0,3,3,0.2,0,0,1868,28.8,0
J.J. Yeley,0,34.4,30,29.4,30.1,-63,331,394,15,4.5,1,29,1.2,0,0,2473,38.5,0
David Starr,0,38,33.3,31.6,33.8,5,104,99,0,0,0,2,0.1,0,0,1991,33.5,0
Stewart Friesen,0,32,25,23,23,-8,44,52,0,0,0,0,0,0,0,252,50.2,0
Ty Dillon,0,37.3,20.5,23,24.3,-60,241,301,13,5.4,0,15,3.4,0,0,438,50.3,0
Bayley Currey,0,33,31,32,32,-6,16,22,0,0,0,0,0,0,0,253,33.3,0
AJ Allmendinger,1,17,20,16,16.7,69,408,339,117,28.7,13,189,55.9,9,2.7,338,85.5,0
Harrison Burton,0,39,17,20,20.7,0,264,264,64,24.2,2,44,23,0,0,191,58.4,0
Justin Allgaier,0,30,33,32.5,28.2,21,279,258,72,25.8,1,20,10.3,0,0,194,44.2,0
Matt Mills,0,39,38,38,38.3,2,5,3,0,0,0,0,0,0,0,255,24.2,0
Josh Berry,0,26.5,30.5,28,29.1,18,134,116,12,9,0,8,1.4,0,0,588,40.3,0
Kyle Tilley,0,34,33.7,32,33.1,20,132,112,0,0,0,0,0,0,0,203,33.9,0
Chad Finchum,0,35,37,37,37.3,-13,8,21,0,0,0,1,0.5,0,0,204,26.8,0
Landon Cassill,0,39.5,16.5,30.5,25,-35,377,412,85,22.5,3,34,12.9,0,0,263,57.8,0
Ben Rhodes,0,31,28,30,27.6,-6,90,96,3,3.3,0,6,6.5,0,0,92,36.7,0
Andy Lally,0,35,36,39,33,43,103,60,5,4.9,0,7,12.7,0,0,55,40.2,0
Parker Kligerman,0,40,21,20,20,3,60,57,8,13.3,0,10,3.8,0,0,266,62,0
Ryan Ellis,0,34,35,36,36.6,-6,20,26,0,0,0,1,0.4,0,0,254,29.8,0